date,temperature,humidity,luminosity
2019-11-27 16:16:45.596,24.1,32.6,38
2019-11-27 16:16:47.870,24.0,32.5,38
2019-11-27 16:16:50.147,24.0,32.5,38
2019-11-27 16:16:52.420,24.0,32.5,38
2019-11-27 16:16:54.698,24.0,32.5,38
2019-11-27 16:16:56.975,24.0,32.6,52
2019-11-27 16:16:59.247,24.0,32.6,45
2019-11-27 16:17:01.525,24.0,32.7,50
2019-11-27 16:17:03.803,24.0,32.7,50
2019-11-27 16:17:06.075,24.0,32.7,50
2019-11-27 16:17:08.352,24.0,32.7,50
2019-11-27 16:17:10.629,24.0,32.7,50
2019-11-27 16:17:12.903,24.0,32.7,50
2019-11-27 16:17:15.181,24.0,32.8,50
2019-11-27 16:17:17.453,24.0,32.8,51
2019-11-27 16:17:19.730,24.0,32.8,51
2019-11-27 16:17:22.007,24.0,32.8,51
2019-11-27 16:17:24.281,24.0,32.8,52
2019-11-27 16:17:26.558,24.0,32.8,52
2019-11-27 16:17:28.832,24.0,32.9,51
2019-11-27 16:17:31.109,24.0,32.9,51
2019-11-27 16:17:33.387,24.0,32.9,51
2019-11-27 16:17:35.660,24.0,32.9,49
2019-11-27 16:17:37.936,24.0,33.0,51
2019-11-27 16:17:40.214,24.0,33.0,51
2019-11-27 16:17:42.487,24.0,33.0,51
2019-11-27 16:17:44.764,24.0,33.0,51
2019-11-27 16:17:47.042,24.0,33.0,52
2019-11-27 16:17:49.314,24.0,33.0,51
2019-11-27 16:17:51.592,24.0,33.0,51
2019-11-27 16:17:53.866,24.1,33.1,50
2019-11-27 16:17:56.142,24.0,33.0,51
2019-11-27 16:17:58.420,24.0,33.1,50
2019-11-27 16:18:00.693,24.1,33.2,51
2019-11-27 16:18:02.971,24.1,33.2,51
2019-11-27 16:18:05.248,24.1,33.2,51
2019-11-27 16:18:07.521,24.0,33.1,51
2019-11-27 16:18:09.798,24.0,33.1,51
2019-11-27 16:18:12.076,24.0,33.1,51
2019-11-27 16:18:14.349,24.1,33.1,51
2019-11-27 16:18:16.626,24.0,33.1,50
2019-11-27 16:18:18.903,24.1,33.1,49
2019-11-27 16:18:21.176,24.1,33.1,50
2019-11-27 16:18:23.454,24.0,33.0,50
2019-11-27 16:18:25.730,24.0,33.0,50
2019-11-27 16:18:28.004,24.1,33.1,50
2019-11-27 16:18:30.281,24.0,33.0,50
2019-11-27 16:18:32.554,24.0,33.1,50
2019-11-27 16:18:34.833,24.0,33.0,50
2019-11-27 16:18:37.109,24.0,33.0,50
2019-11-27 16:18:39.382,24.0,33.0,50
2019-11-27 16:18:41.659,24.0,33.0,50
2019-11-27 16:18:43.937,24.0,33.0,50
2019-11-27 16:18:46.210,24.0,33.0,49
2019-11-27 16:18:48.487,24.0,32.9,50
2019-11-27 16:18:50.764,24.0,32.9,45
2019-11-27 16:18:53.037,24.0,32.9,44
